id,path,label,builder_id,materials_count,command_sample,startedOn,finishedOn,time_delta_sec,entropy_b64,subject_digest,tampering_score
provenance.intoto-18515842420#0,tampered_provenance_sample/provenance.intoto-18515842420.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.0,1,[],,,,5.7227,c875e5daa6f492b707b17509310519939332e904c2f25b27136ebdcf8c7e46dd,1.0
provenance.intoto-18515843011#0,tampered_provenance_sample/provenance.intoto-18515843011.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.1,1,[],,,,5.7158,d4e2fda93c836dfb0062f208075d6e0c5da3b2a7c3253f6df02fe59ebebd77bd,1.0
provenance.intoto-18515844148#0,tampered_provenance_sample/provenance.intoto-18515844148.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.2,1,[],,,,5.7239,d4e2fda93c836dfb0062f208075d6e0c5da3b2a7c3253f6df02fe59ebebd77bd,1.0
provenance.intoto-18515845274#0,tampered_provenance_sample/provenance.intoto-18515845274.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.3,1,[],,,,5.7142,d4e2fda93c836dfb0062f208075d6e0c5da3b2a7c3253f6df02fe59ebebd77bd,0.0
provenance.intoto-18515846424#0,tampered_provenance_sample/provenance.intoto-18515846424.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.4,1,[],,,,5.7234,d4e2fda93c836dfb0062f208075d6e0c5da3b2a7c3253f6df02fe59ebebd77bd,1.0
provenance.intoto-18515847591#0,tampered_provenance_sample/provenance.intoto-18515847591.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.5,0,[],,,,5.718,c875e5daa6f492b707b17509310519939332e904c2f25b27136ebdcf8c7e46dd,1.0
provenance.intoto-18515848156#0,tampered_provenance_sample/provenance.intoto-18515848156.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.6,1,[],,,,5.7176,d4e2fda93c836dfb0062f208075d6e0c5da3b2a7c3253f6df02fe59ebebd77bd,1.0
provenance.intoto-18515848642#0,tampered_provenance_sample/provenance.intoto-18515848642.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.7,1,[],,,,5.7196,d4e2fda93c836dfb0062f208075d6e0c5da3b2a7c3253f6df02fe59ebebd77bd,1.0
provenance.intoto-18515849419#0,tampered_provenance_sample/provenance.intoto-18515849419.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.8,1,[],,,,5.7152,d4e2fda93c836dfb0062f208075d6e0c5da3b2a7c3253f6df02fe59ebebd77bd,1.0
provenance.intoto-18515850672#0,tampered_provenance_sample/provenance.intoto-18515850672.jsonl,tampered,https://github.com/slsa-framework/slsa-github-generator/.github/workflows/generator_generic_slsa3.yml@refs/tags/v2.1.9,1,[],,,,5.7192,d4e2fda93c836dfb0062f208075d6e0c5da3b2a7c3253f6df02fe59ebebd77bd,1.0
